sku,upc,name_en,name_kr,item_volume,volume_unit,desc_en,desc_kr,category,note,uom,box_price,pack_price,unit_price,units_per_box,zone_type,min_stock_qty,shelf_life_days,image_url,is_active,manufacturer_id,supplier_id
CND-001,740016996460,($1.99) SC Candy,($1.99) SC ??,5.75,oz,Wild Cherry Rings,??????,Candy,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
CND-002,740016996477,($1.99) SC Candy,($1.99) SC ??,5.75,oz,Blue Raspberry Rings,???????,Candy,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
CND-003,740016996170,($1.99) SC Candy,($1.99) SC ??,4,oz,Tootsie Fruit Chews,?????,Candy,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
CND-004,81864005042,($1.99) SC Candy,($1.99) SC ??,6.25,oz,Gum Balls,??,Candy,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
CND-005,740016996415,($1.99) SC Candy,($1.99) SC ??,4,oz,Jolly Ranchers,????,Candy,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
CND-006,740016996439,($1.99) SC Candy,($1.99) SC ??,5.57,oz,Watermelon Rings,???,Candy,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
CND-007,740016996422,($1.99) SC Candy,($1.99) SC ??,5.57,oz,Watermelon Slices,??????,Candy,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
CND-008,740016996385,($1.99) SC Candy,($1.99) SC ??,6,oz,Gummi Worms,???,Candy,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
CND-009,740016996392,($1.99) SC Candy,($1.99) SC ??,,oz,Peach Rings,????,Candy,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
CND-010,740016996873,($1.99) SC Candy,($1.99) SC ??,6,oz,Sour Gummi Bear,??????,Candy,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
CND-011,740016996378,($1.99) SC Candy,($1.99) SC ??,6,oz,Gummi Bears,???,Candy,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
CND-012,740016996408,($1.99) SC Candy,($1.99) SC ??,5.75,oz,Neon Sour Crawlers,??????,Candy,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
CND-013,740016996637,($1.99) SC Candy,($1.99) SC ??,5.75,oz,Neon Sour Rings,?????,Candy,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
CND-014,,($0.99) SC Candy,($0.99) SC ??,,oz,Candy ($0.99),??($1.99),Candy,,BOX,9.6,,0.8,,A,30,365,,TRUE,,
NUT-001,891164002258,($2.99) SC Nuts,($2.99) SC ??,3.4,oz,California Pistachios,????? ?????,Nuts,,BOX,29.04,,2.42,,A,30,365,,TRUE,,
NUT-002,891164002265,($2.99) SC Nuts,($2.99) SC ??,3.4,oz,Salted Cashews,?? ??,Nuts,,BOX,29.04,,2.42,,A,30,365,,TRUE,,
NUT-003,740016995968,($2.99) SC Nuts,($2.99) SC ??,3.4,oz,Unsalted Cashews,??,Nuts,,BOX,29.04,,2.42,,A,30,365,,TRUE,,
NUT-004,740016995975,($2.99) SC Nuts,($2.99) SC ??,3.4,oz,Honey Cashews,?? ??,Nuts,,BOX,29.04,,2.42,,A,30,365,,TRUE,,
NUT-005,740016995982,($2.99) SC Nuts,($2.99) SC ??,4,oz,California Almonds,????? ???,Nuts,,BOX,29.04,,2.42,,A,30,365,,TRUE,,
NUT-006,740016996606,($2.99) SC Nuts,($2.99) SC ??,6.25,oz,Omega-3 Deluxe Mix,???3 ??,Nuts,,BOX,29.04,,2.42,,A,30,365,,TRUE,,
NUT-007,740016996590,($2.99) SC Nuts,($2.99) SC ??,7,oz,Sweet&Salty Trail Mix,??? ??,Nuts,,BOX,29.04,,2.42,,A,30,365,,TRUE,,
NUT-008,740016996521,($1.99) SC Nuts,($1.99) SC ??,2.25,oz,Giant Pumpkin Seeds,? ???,Nuts,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
NUT-009,891164002173,($1.99) SC Nuts,($1.99) SC ??,2.15,oz,California Pistachios,????? ?????,Nuts,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
NUT-010,740016996507,($1.99) SC Nuts,($1.99) SC ??,4.5,oz,Premium Trail Mix,???? ??,Nuts,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
NUT-011,740016996514,($1.99) SC Nuts,($1.99) SC ??,4.25,oz,Cajun Hot Mix,??? ??,Nuts,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
NUT-012,740016995854,($1.99) SC Nuts,($1.99) SC ??,4.5,oz,Premium Cranberry Mix,???? ???? ??,Nuts,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
NUT-013,740016995869,($1.99) SC Nuts,($1.99) SC ??,4.5,oz,Triopical Trail Mix,???? ??,Nuts,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
NUT-014,891164002210,($1.99) SC Nuts,($1.99) SC ??,2.25,oz,Honey Roasted Cashews,?? ??,Nuts,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
NUT-015,891164002272,($1.99) SC Nuts,($1.99) SC ??,2.25,oz,Hot Spicy Cashews,?? ??,Nuts,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
NUT-016,740016996644,($1.99) SC Nuts,($1.99) SC ??,3.25,oz,Cranbanana,?????,Nuts,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
NUT-017,740016997016,($1.99) SC Nuts,($1.99) SC ??,2.65,oz,California Walnuts,????? ??,Nuts,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
NUT-018,891164002197,($1.99) SC Nuts,($1.99) SC ??,2.25,oz,Salted Cashews,?? ??,Nuts,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
NUT-019,891164002203,($1.99) SC Nuts,($1.99) SC ??,2.25,oz,Unsalted Cashews,??,Nuts,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
NUT-020,740016995883,($1.99) SC Nuts,($1.99) SC ??,4.5,oz,Peanut Butter Trail Mix,???? ??,Nuts,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
NUT-021,740016996811,($1.99) SC Nuts,($1.99) SC ??,4.5,oz,Mixed Fruits&Nuts,?? ? ??,Nuts,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
NUT-022,740016996774,($1.99) SC Nuts,($1.99) SC ??,6.25,oz,Salted Peanuts,?? ??,Nuts,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
NUT-023,740016996729,($1.99) SC Nuts,($1.99) SC ??,5.5,oz,Honey Roasted Peanuts,? ?? ??,Nuts,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
NUT-024,740016996781,($1.99) SC Nuts,($1.99) SC ??,5.5,oz,Hot Peanuts,?? ?? ??,Nuts,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
NUT-025,,($1.99) SC Nuts,($1.99) SC ??,5.5,oz,Yogurt Mix,??? ??,Nuts,,BOX,19.32,,1.61,,A,30,365,,TRUE,,
FRZ-001,8801114153741,PMO Potato Mozz CornDog,?? ???,12.7,oz,Mozzarella,???? ???,Frozen,,PACK,,6.99,,,F,10,365,,TRUE,,
FRZ-002,,BBG Whole Shrimp Mandu,?????,7.7,oz,Shrimp,?????,Frozen,,BOX,,,4.99,,F,10,365,,FALSE,,
FRZ-003,8801392106156,BBG Gimbap Bulgogi,?????,230,g,Bulgogi,?????,Frozen,,BOX,76.56,,3.19,,F,10,365,,TRUE,,
FRZ-004,807176540725,BBG Gimbap Spicy Bulgogi,???????,230,g,Spicy Bulgogi,???????,Frozen,,BOX,76.56,,3.19,,F,10,365,,TRUE,,
FRZ-005,,CJ B2B Dumpling,CJ B2B ??,2,lb,BBG B2B Beef & Veg,?????,Frozen,,PACK,,7.5,,,F,10,365,,TRUE,,
FRZ-006,,CJ B2B Dumpling,CJ B2B ??,2,lb,BBG B2B Chicken & Veg,?????,Frozen,,PACK,,6.5,,,F,10,365,,TRUE,,
FRZ-007,807176862469,CJ B2B Dumpling,CJ B2B ??,2,lb,BBG B2B Pork & Veg,??????,Frozen,,PACK,,6.5,,,F,10,365,,TRUE,,
FRZ-008,8801114151884,PMO Tteokbokki,PMO ???,14.1,oz,Mozzarella Cheese,?????????,Frozen,,PACK,,5.96,,,F,10,365,,TRUE,,
FRZ-009,8801114151334,PMO Tteokbokki,PMO ???,16.9,oz,Spicy,?????,Frozen,,PACK,,5.96,,,F,10,365,,TRUE,,
FRZ-010,8801114161548,PMO Tteokbokki,PMO ???,14.1,oz,Rose,?????,Frozen,,PACK,,5.96,,,F,10,365,,TRUE,,
GM-001,793936756751,Slouch Socks,??,9-11,size,Size 9-11,9-11 ???,General,,PACK,,15.96,1.33,,A,10,365,,TRUE,,
GM-002,793936756751,Slouch Socks,??,6-8,size,Size 6-8,6-8 ???,General,,PACK,,15.96,1.33,,A,10,365,,TRUE,,
GM-003,,Slouch Socks,??,"1-3, 4-6",size,"Size 1-3, 4-6","1-3, 4-6 ???",General,,PACK,,9.6,0.8,,A,10,365,,TRUE,,
GM-004,,Ankle Socks,????,,size,4/PACK,????,General,,PACK,,4.64,1.16,,A,10,365,,TRUE,,
GM-005,,Sport Socks,?????,,size,20/BOX,?????,General,,PACK,,6.76,1.69,,A,10,365,,TRUE,,
GM-006,793936756751,Slouch Socks (9-11),??(9-11),9-11,size,Rainbow (53),???(53),General,,PACK,,15.96,1.33,,A,10,365,,TRUE,,
GM-007,793936756751,Slouch Socks (9-11),??(9-11),9-12,size,Rainbow (37),???(37),General,,PACK,,15.96,1.33,,A,10,365,,TRUE,,
GM-008,793936756751,Slouch Socks (9-11),??(9-11),9-13,size,Sky Blue,?????,General,,PACK,,15.96,1.33,,A,10,365,,TRUE,,
GM-009,793936756751,Slouch Socks (9-11),??(9-11),9-14,size,Navy,???,General,,PACK,,15.96,1.33,,A,10,365,,TRUE,,
GM-010,793936756751,Slouch Socks (9-11),??(9-11),9-15,size,Green,??,General,,PACK,,15.96,1.33,,A,10,365,,TRUE,,
GM-011,793936756751,Slouch Socks (9-11),??(9-11),9-16,size,Burgundy,???,General,,PACK,,15.96,1.33,,A,10,365,,TRUE,,
GM-012,793936756751,Slouch Socks (9-11),??(9-11),9-17,size,Dark Green,?????,General,,PACK,,15.96,1.33,,A,10,365,,TRUE,,
GM-013,793936756751,Slouch Socks (9-11),??(9-11),9-18,size,Yellow,???,General,,PACK,,15.96,1.33,,A,10,365,,TRUE,,
GM-014,793936756751,Slouch Socks (9-11),??(9-11),9-19,size,Purple,???,General,,PACK,,15.96,1.33,,A,10,365,,TRUE,,
GM-015,793936756751,Slouch Socks (9-11),??(9-11),9-20,size,Blue,???,General,,PACK,,15.96,1.33,,A,10,365,,TRUE,,
GM-016,793936756751,Slouch Socks (9-11),??(9-11),9-21,size,Black Tone,???,General,,PACK,,15.96,1.33,,A,10,365,,TRUE,,
GM-017,793936756751,Slouch Socks (9-11),??(9-11),9-22,size,Light Green,????,General,,PACK,,15.96,1.33,,A,10,365,,TRUE,,
GM-018,793936756751,Slouch Socks (9-11),??(9-11),9-23,size,Jet Gray,???,General,,PACK,,15.96,1.33,,A,10,365,,TRUE,,
GM-019,793936756751,Slouch Socks (6-8),??(6-8),6-8,size,Yellow,???,General,,PACK,,15.96,1.33,,A,10,365,,TRUE,,
GM-020,793936756751,Slouch Socks (6-8),??(6-8),6-9,size,White,??,General,,PACK,,15.96,1.33,,A,10,365,,TRUE,,
GM-021,793936756751,Slouch Socks (6-8),??(6-8),6-10,size,Orange,????,General,,PACK,,15.96,1.33,,A,10,365,,TRUE,,
GM-022,793936756751,Slouch Socks (6-8),??(6-8),6-11,size,Black,???,General,,PACK,,15.96,1.33,,A,10,365,,TRUE,,
GM-023,793936756751,Slouch Socks (6-8),??(6-8),6-12,size,Red,??,General,,PACK,,15.96,1.33,,A,10,365,,TRUE,,
GM-024,793936756751,Slouch Socks (6-8),??(6-8),6-13,size,Dark Pink,?????,General,,PACK,,15.96,1.33,,A,10,365,,TRUE,,
GM-025,793936756751,Slouch Socks (6-8),??(6-8),6-14,size,Blue,???,General,,PACK,,15.96,1.33,,A,10,365,,TRUE,,
GM-026,793936756751,Slouch Socks (6-8),??(6-8),6-15,size,Purple,???,General,,PACK,,15.96,1.33,,A,10,365,,TRUE,,
GM-027,793936756751,Slouch Socks (6-8),??(6-8),6-16,size,Navy,?,General,,PACK,,15.96,1.33,,A,10,365,,TRUE,,
KIM-001,8801766012588,Kimchi,??,5.64,oz,Wang,???,Kimchi,,EA,,,2.49,,A,50,365,,TRUE,,
NDL-001,31146013531,Shin Ramyeon Multi 4pk [Black],?????4?[??],,oz,Beef Bone Broth,?????4?[??],Ramyun,,BOX,37.88,,9.47,,A,20,365,,TRUE,,
NDL-002,31146022861,Shin Ramyeon Multi 4pk,?????4?,,oz,Original,?????4?,Ramyun,,BOX,25.16,,6.29,,A,20,365,,TRUE,,
NDL-003,31146013524,Shin Ramyeon Single [Black],?????[??],,oz,Black Single,?????[??],Ramyun,,EA,,,2.69,,A,200,365,,TRUE,,
NDL-004,,Shin Ramyeon Single,?????,,oz,Shin Ramyeon Single,?????,Ramyun,,EA,,,1.69,,A,200,365,,TRUE,,
NDL-005,31146270606,Shin Cups,????,,oz,Original,????,Cup-myun,,BOX,10.74,,1.79,,A,20,365,,TRUE,,
NDL-006,31146014408,Shin Cups [Black],????[??],,oz,Black,????[??],Cup-myun,,BOX,15.3,,2.55,,A,20,365,,TRUE,,
NDL-007,31146262441,Shin Bowl,????,3.3,oz,Original,????[????],Cup-myun,,BOX,17.88,,1.49,,A,20,365,,TRUE,,
